x,y
0.000,0.000
0.020,0.135
0.040,0.235
0.060,0.311
0.080,0.372
0.100,0.421
0.120,0.463
0.140,0.499
0.160,0.529
0.180,0.556
0.200,0.580
0.220,0.602
0.240,0.622
0.260,0.640
0.280,0.656
0.300,0.672
0.320,0.686
0.340,0.700
0.360,0.713
0.380,0.725
0.400,0.737
0.420,0.748
0.440,0.759
0.460,0.769
0.480,0.779
0.500,0.789
0.520,0.799
0.540,0.808
0.560,0.817
0.580,0.826
0.600,0.835
0.620,0.844
0.640,0.853
0.660,0.861
0.680,0.870
0.700,0.878
0.720,0.886
0.740,0.895
0.760,0.903
0.780,0.911
0.800,0.919
0.820,0.927
0.840,0.936
0.860,0.944
0.880,0.952
0.900,0.960
0.920,0.968
0.940,0.976
0.960,0.984
0.980,0.992
1.000,1.000

