temperature,x,y,alpha
100.0,0.000,0.000,
96.5,0.020,0.135,7.66
93.7,0.040,0.235,7.35
91.4,0.060,0.311,7.07
89.5,0.080,0.372,6.80
87.8,0.100,0.421,6.55
86.3,0.120,0.463,6.32
85.1,0.140,0.499,6.11
83.9,0.160,0.529,5.91
82.9,0.180,0.556,5.71
81.9,0.200,0.580,5.53
81.1,0.220,0.602,5.37
80.3,0.240,0.622,5.21
79.5,0.260,0.640,5.05
78.8,0.280,0.656,4.91
78.2,0.300,0.672,4.78
77.6,0.320,0.686,4.65
77.0,0.340,0.700,4.52
76.4,0.360,0.713,4.41
75.9,0.380,0.725,4.30
75.4,0.400,0.737,4.19
74.9,0.420,0.748,4.09
74.5,0.440,0.759,4.00
74.0,0.460,0.769,3.91
73.6,0.480,0.779,3.82
73.1,0.500,0.789,3.74
72.7,0.520,0.799,3.66
72.3,0.540,0.808,3.58
71.9,0.560,0.817,3.51
71.6,0.580,0.826,3.44
71.2,0.600,0.835,3.38
70.8,0.620,0.844,3.31
70.4,0.640,0.853,3.25
70.1,0.660,0.861,3.19
69.7,0.680,0.870,3.14
69.4,0.700,0.878,3.08
69.0,0.720,0.886,3.03
68.7,0.740,0.895,2.98
68.4,0.760,0.903,2.94
68.0,0.780,0.911,2.89
67.7,0.800,0.919,2.85
67.4,0.820,0.927,2.80
67.0,0.840,0.936,2.76
66.7,0.860,0.944,2.72
66.4,0.880,0.952,2.69
66.1,0.900,0.960,2.65
65.8,0.920,0.968,2.61
65.5,0.940,0.976,2.58
65.1,0.960,0.984,2.55
64.8,0.980,0.992,2.52
64.5,1.000,1.000,2.50
